time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss
26624,16,1595,13,199.53,199.53,0.0028095592,-0.5766455264762044,0.8848816156387329,0.2,0.038330078125,120,0.0003,-0.005111291966750286,0.7732590436935425,9.376796178799122
28672,18,1567,14,216.52,216.52,0.002698978,-0.5452237150631845,15.781405448913574,0.2,0.018701171875,130,0.0003,-0.004397845307539683,0.035577237606048584,74.02701847106218
30720,19,1539,15,231.98,231.98,0.0057994276,-0.5406863711774349,0.17094558477401733,0.2,0.0521484375,140,0.0003,-0.0013284115273563657,0.6282737255096436,2.282601764658466
32768,21,1513,16,248.68,248.68,0.0036339522,-0.5089772761799395,0.03482605516910553,0.2,0.03056640625,150,0.0003,-0.0001661122492805589,0.14832806587219238,1.1610425299673808
34816,23,1489,17,266.22,266.22,0.007401823,-0.5216755622066558,0.05377957969903946,0.2,0.06923828125,160,0.0003,-0.006795312130998354,0.8780977129936218,0.7587524826230947
36864,25,1465,18,282.66,282.66,0.007898183,-0.4924999989569187,0.014986542984843254,0.2,0.055859375,170,0.0003,-0.002392873053031508,-0.13205933570861816,0.4743965795947588
38912,26,1442,19,302.86,302.86,0.0021501384,-0.48106697397306564,0.021158818155527115,0.2,0.020703125,180,0.0003,-0.0017318159771093633,0.02477210760116577,0.29924587987334234
40960,28,1421,20,316.53,316.53,0.003890747,-0.5084725833497942,0.0307045616209507,0.2,0.037841796875,190,0.0003,-0.0027574378123972564,0.015795230865478516,0.18974406132037985
43008,30,1400,21,332.03,332.03,0.0036192136,-0.4792630317620933,0.02646818198263645,0.2,0.0294921875,200,0.0003,-0.0019535764353349806,0.021730780601501465,0.12124756130797323
45056,32,1377,22,348.21,348.21,0.0014690647,-0.4909310571849346,0.013324383646249771,0.2,0.006884765625,210,0.0003,0.00012918910506414248,-0.005491852760314941,0.07323255150658951
47104,34,1357,23,362.78,362.78,0.0025166064,-0.4574259836226702,0.020288733765482903,0.2,0.01875,220,0.0003,-0.0014776760159293189,-0.003206610679626465,0.04669999089892372
49152,36,1338,24,376.34,376.34,0.0049098795,-0.4495758170261979,-0.0064519792795181274,0.2,0.027392578125,230,0.0003,-0.0005541632024687714,-0.01768481731414795,0.030776348597100878
51200,38,1317,25,389.24,389.24,0.0061585275,-0.46148669430986045,-0.023520244285464287,0.2,0.05498046875,240,0.0003,-0.0024892325600376353,0.02282494306564331,0.018912824257131432
53248,41,1298,26,402.71,402.71,0.0017507767,-0.45107212029397487,-0.0013341461308300495,0.2,0.005224609375,250,0.0003,0.00023841381480451673,-0.012634873390197754,0.012585501473586192
55296,43,1279,27,409.93,409.93,0.002760853,-0.4471551333554089,-0.020998958498239517,0.2,0.01708984375,260,0.0003,-0.0019914778851671143,0.05382740497589111,0.007950794965563546
57344,45,1259,28,420.8,420.8,0.0030335814,-0.4441605635918677,-0.004077482037246227,0.2,0.027001953125,270,0.0003,-0.0009171208170300815,-0.026285767555236816,0.005355057942233543
59392,47,1241,29,434.64,434.64,0.0018424195,-0.4276028127409518,0.009822188876569271,0.2,0.01123046875,280,0.0003,-0.00025492825225228446,0.03001868724822998,0.003512056756471793
61440,50,1224,30,447.05,447.05,0.0036742676,-0.4370282982476056,0.031867772340774536,0.2,0.029541015625,290,0.0003,-0.0019252035810495727,-0.0006660223007202148,0.0025118856376593612
