rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
497.49,1095,75776,69,497.49,37,0.012511204,0.013875245116651058,0.0003,0.148828125,360,0.009997189044952393,0.2,0.00018992375235029612,-0.4396446006372571,-0.004298834744258784
500.0,1081,77824,71,500.0,38,0.0064346027,-0.013342116959393024,0.0003,0.036962890625,370,0.019775331020355225,0.2,0.00013127951780802504,-0.4230657362379134,-0.0018396017447230406
500.0,1068,79872,74,500.0,39,0.0048522637,0.0005380522925406694,0.0003,0.028125,380,-0.08185207843780518,0.2,9.320647616846145e-05,-0.40480156810954215,-0.0010250991879729554
500.0,1056,81920,77,500.0,40,0.008884411,-0.018102480098605156,0.0003,0.091064453125,390,-0.132301926612854,0.2,7.122895208055979e-05,-0.3972759936004877,-0.00470116234573652
500.0,1041,83968,80,500.0,41,0.0025225724,0.002909488044679165,0.0003,0.043603515625,400,-0.04151296615600586,0.2,5.2222465177464984e-05,-0.3956329542212188,-0.0024566012842115017
500.0,1028,86016,83,500.0,42,0.0043747523,0.01817375421524048,0.0003,0.034033203125,410,-0.14633166790008545,0.2,3.55688280620825e-05,-0.36938205286860465,-0.002624567211023532
500.0,1016,88064,86,500.0,43,0.0049660173,-0.003183921566233039,0.0003,0.051953125,420,-0.20147192478179932,0.2,2.3840224912419217e-05,-0.36650727968662977,-0.0020160950181889346
500.0,1004,90112,89,500.0,44,0.0025961106,0.0030252132564783096,0.0003,0.02060546875,430,-0.24621880054473877,0.2,2.2104721517735014e-05,-0.3464754638262093,-0.0013390690932283179
500.0,993,92160,92,500.0,45,0.0019238013,-0.008446047082543373,0.0003,0.02568359375,440,-0.22708547115325928,0.2,1.0258530556939149e-05,-0.3409949562512338,-0.0005213174415985122
500.0,982,94208,95,500.0,46,0.0040262025,-0.0020820782519876957,0.0003,0.02744140625,450,-0.23130762577056885,0.2,8.53050890441409e-06,-0.3393338988535106,-0.0018881456708186306
500.0,971,96256,99,500.0,47,0.0031105422,0.00044329388765618205,0.0003,0.02734375,460,-0.560707688331604,0.2,5.938187049991938e-06,-0.3154216084163636,-0.0015688870204030535
500.0,960,98304,102,500.0,48,0.0014387127,0.001526010106317699,0.0003,0.0314453125,470,-0.5452430248260498,0.2,6.15558850540765e-06,-0.3208758900873363,-3.5680251312442127e-05
500.0,950,100352,105,500.0,49,0.00082490715,-0.004848582204431295,0.0003,0.028076171875,480,-0.6489599943161011,0.2,4.434074620007778e-06,-0.31611030860804024,-0.00022609639054280706
500.0,938,102400,109,500.0,50,0.004324102,-0.013525380752980709,0.0003,0.02236328125,490,-0.8038852214813232,0.2,4.859548104718669e-06,-0.2910627521574497,-0.0015715673187514767
500.0,926,104448,112,500.0,51,0.005122772,-0.0038612824864685535,0.0003,0.03271484375,500,-0.9707667827606201,0.2,3.1407477564471265e-06,-0.28937425022013485,-0.000333408938604407
500.0,915,106496,116,500.0,52,0.002875493,-0.015241706743836403,0.0003,0.0142578125,510,-1.1511187553405762,0.2,6.4226418459156775e-06,-0.29266753513365984,-0.0010177905904129147
