rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/loss
25.658227848101266,1,2048,0,25.658227848101266,2718,,,,,,,,,,
29.94,2,4096,1,29.94,2154,-0.6861534619703888,0.0962890625,10,0.0003,-0.015893689582298975,-0.002147078514099121,0.007937554,62.65411128401756,0.2,9.418014526367188
38.08,3,6144,3,38.08,2031,-0.6695749824866652,0.047216796875,20,0.0003,-0.01376315061643254,0.02873629331588745,0.00835187,42.20070811510086,0.2,16.50503158569336
48.07,4,8192,4,48.07,1934,-0.6365076126530766,0.09619140625,30,0.0003,-0.020103348986594938,0.24043327569961548,0.009411298,55.95240314006806,0.2,19.9884090423584
64.03,5,10240,5,64.03,1862,-0.6134070323780179,0.063916015625,40,0.0003,-0.013915106924832799,0.27466094493865967,0.008578448,60.64844489693642,0.2,22.366622924804688
79.84,6,12288,6,79.84,1806,-0.5978608950972557,0.05595703125,50,0.0003,-0.01159398648305796,0.47958219051361084,0.0073352465,61.525688987970355,0.2,19.769630432128906
96.76,7,14336,8,96.76,1760,-0.5725847134366632,0.0349609375,60,0.0003,-0.008012675130157732,0.4725443124771118,0.0057681934,65.74753414392471,0.2,30.229148864746094
114.03,8,16384,9,114.03,1717,-0.5705777905881405,0.13076171875,70,0.0003,-0.010717036640562583,0.805853009223938,0.010867927,33.75315031856299,0.2,10.666980743408203
127.63,9,18432,10,127.63,1675,-0.5727981563657523,0.017333984375,80,0.0003,-0.0018588735052617266,0.9115698337554932,0.0044967346,20.198408918827774,0.2,2.974968910217285
146.91,10,20480,12,146.91,1640,-0.5543361682444811,0.0888671875,90,0.0003,-0.01037068173609441,0.8860416412353516,0.008902182,24.335979380458593,0.2,3.686342477798462
165.7,11,22528,14,165.7,1608,-0.5658008327707649,0.087451171875,100,0.0003,-0.01065857887151651,0.9695816040039062,0.0065739513,9.43191253580153,0.2,0.8026820421218872
