time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/policy_gradient_loss
628,184320,500.0,500.0,90,293,0.2,0.0016636763,2.844021310011158e-07,-0.2525922283064574,0.0003,-0.002063889056444168,0.011474609375,-5.918217658996582,890,0.0010269169772072928
623,186368,500.0,500.0,91,298,0.2,0.0044765826,2.8815720440888983e-07,-0.26932456172071395,0.0003,0.004726398270577192,0.031494140625,-9.325108528137207,900,7.420357724186033e-05
619,188416,500.0,500.0,92,304,0.2,0.0014841877,3.690147983093084e-05,-0.25158870350569484,0.0003,-0.00207874015904963,0.011865234375,-6.636460781097412,910,-0.0001404163813276682
614,190464,500.0,500.0,93,309,0.2,0.005200502,1.973784691244873e-07,-0.26043722466565666,0.0003,-0.0010756882838904858,0.05791015625,-11.425210952758789,920,-0.0032671158318407834
610,192512,500.0,500.0,94,315,0.2,0.0014317401,2.477880201467997e-07,-0.2514381500892341,0.0003,0.0062791514210402966,0.012890625,-6.491806983947754,930,-0.0002291817290824838
605,194560,500.0,500.0,95,321,0.2,0.0035763874,2.8310190032243553e-07,-0.2549753872212023,0.0003,-0.004661073908209801,0.03173828125,-8.764546394348145,940,-0.0005228856913163327
601,196608,500.0,500.0,96,327,0.2,0.0015138129,5.455561165490507e-07,-0.24240133897401392,0.0003,-0.006941735278815031,0.019384765625,-5.707154750823975,950,-0.0002243998518679291
596,198656,500.0,500.0,97,332,0.2,0.0012721401,7.058430895767742e-07,-0.25386514808051286,0.0003,-0.002352137118577957,0.01142578125,-6.9902191162109375,960,0.0001411262244801037
592,200704,500.0,500.0,98,338,0.2,0.0026070047,0.0002001513045200909,-0.2513069807551801,0.0003,0.011544764041900635,0.01591796875,-5.873027324676514,970,-9.823765722103417e-05
587,202752,500.0,500.0,99,344,0.2,0.0019057115,1.596659345182161e-06,-0.2457984069362283,0.0003,-0.002483564894646406,0.01484375,-1.9148690700531006,980,-0.00032437814479635563
582,204800,500.0,500.0,100,351,0.2,0.0044202106,1.6879399993285916e-07,-0.26000346913933753,0.0003,0.012907425872981548,0.039013671875,-3.4192185401916504,990,-0.0006498148024547846
578,206848,500.0,500.0,101,357,0.2,0.0019372128,1.684672554347344e-07,-0.2528678179252893,0.0003,-8.332557626999915e-05,0.018798828125,-2.7156901359558105,1000,-0.0001336361325229518
573,208896,500.0,500.0,102,364,0.2,0.00621567,1.2642081514968595e-07,-0.25831276667304337,0.0003,-0.014327515847980976,0.046337890625,-4.549216270446777,1010,-0.0007908414867415558
568,210944,500.0,500.0,103,370,0.2,0.0020980383,1.576887200371857e-07,-0.2650767341721803,0.0003,-0.014753423631191254,0.022509765625,-5.689222812652588,1020,-0.0006671654002275318
564,212992,500.0,500.0,104,377,0.2,0.0043101003,4.5692168839650547e-07,-0.24180211806669832,0.0003,-0.0005896994844079018,0.02626953125,-3.653768539428711,1030,-0.0006700655867462046
559,215040,500.0,500.0,105,384,0.2,0.0032092207,1.6925070269735443e-07,-0.2675350126810372,0.0003,0.0012343779671937227,0.028662109375,-3.8145008087158203,1040,-0.0020091655547730624
555,217088,500.0,500.0,106,390,0.2,0.0029062033,1.8747956573861301e-07,-0.2572285061702132,0.0003,0.006818893365561962,0.01455078125,-5.214775562286377,1050,-0.000371575252211187
551,219136,500.0,500.0,107,397,0.2,0.0018297532,2.0732178313664916e-06,-0.2465194207150489,0.0003,0.00031783769372850657,0.0212890625,-4.157036304473877,1060,-0.0009076451839064248
546,221184,500.0,500.0,108,404,0.2,0.0017723965,5.001593737574694e-06,-0.24900993085466325,0.0003,-0.0009541235049255192,0.01923828125,-6.524864196777344,1070,-0.00026658127317205074
542,223232,500.0,500.0,109,411,0.2,0.0022513778,3.464760936822131e-07,-0.23079854846000672,0.0003,-0.009067184291779995,0.028369140625,-9.159071922302246,1080,-0.001831478570238687
538,225280,500.0,500.0,110,418,0.2,0.0022828877,6.576308319949931e-06,-0.23830483364872634,0.0003,0.004967012908309698,0.018115234375,-8.801410675048828,1090,-0.0007358054994256235
534,227328,500.0,500.0,111,425,0.2,0.0011829995,2.0307424222210103e-07,-0.22664140146225692,0.0003,0.005826262291520834,0.013232421875,-5.584055423736572,1100,0.0003163388886605389
530,229376,500.0,500.0,112,432,0.2,0.0012830804,1.493492641202465e-06,-0.25963149885646997,0.0003,-0.0034528737887740135,0.024365234375,-6.007758140563965,1110,0.00016227680316660553
527,231424,500.0,500.0,113,439,0.2,0.004568481,4.0217064022840535e-05,-0.2774882257916033,0.0003,-0.0008904170827008784,0.0416015625,-9.728971481323242,1120,-0.00037407547351904215
523,233472,500.0,500.0,114,446,0.2,0.0028757364,1.7333615005554747e-07,-0.2434033380821347,0.0003,0.0018365585710853338,0.020361328125,-6.429103851318359,1130,-0.0006075749559386167
519,235520,500.0,500.0,115,453,0.2,0.0011342131,1.8079276742355432e-07,-0.2716248041950166,0.0003,-0.012213817797601223,0.020166015625,-9.700272560119629,1140,1.0120890510734171e-05
515,237568,500.0,500.0,116,460,0.2,0.0026051856,6.786423085713977e-07,-0.2639763794839382,0.0003,0.002932847011834383,0.0298828125,-13.178947448730469,1150,-0.0009482606401434168
512,239616,500.0,500.0,117,467,0.2,0.0022569392,2.5662824037908648e-05,-0.24200029377825558,0.0003,0.001326217781752348,0.017041015625,-11.896784782409668,1160,-0.0010995219054166228
508,241664,500.0,500.0,118,475,0.2,0.00060469424,1.136887703978573e-07,-0.2654162097722292,0.0003,-0.005990051664412022,0.0208984375,-12.772014617919922,1170,-0.00032781090994831174
505,243712,500.0,500.0,119,482,0.2,0.0019575942,1.6875696076112945e-07,-0.2528733494691551,0.0003,-0.001128999050706625,0.0232421875,-10.183323860168457,1180,0.0005631594933220186
501,245760,500.0,500.0,120,489,0.2,0.0011566073,1.6479945088576642e-07,-0.25198125853203235,0.0003,-6.924375338712707e-05,0.014892578125,-12.496743202209473,1190,0.0009636148723075166
498,247808,500.0,500.0,121,497,0.2,0.0024346882,0.00010823914212494401,-0.26988503988832235,0.0003,-0.0032145436853170395,0.0291015625,-15.509841918945312,1200,0.00011115170054836199
495,249856,500.0,500.0,122,504,0.2,0.009705298,9.171779424832494e-08,-0.27764083901420233,0.0003,0.011447655037045479,0.08916015625,-11.225996017456055,1210,-0.0040244736213935536
491,251904,500.0,500.0,123,512,0.2,0.0016503113,1.094702525961111e-07,-0.265445197885856,0.0003,-0.0025006746873259544,0.02978515625,-7.5114545822143555,1220,-0.00020691075915237888
488,253952,500.0,500.0,124,519,0.2,0.00084849156,9.576159527568962e-08,-0.2702945183031261,0.0003,0.004154806956648827,0.01611328125,-8.370870590209961,1230,2.975388488266617e-05
485,256000,500.0,500.0,125,527,0.2,0.0018239109,1.5173626024989062e-06,-0.26079717013053594,0.0003,0.009355537593364716,0.017724609375,-8.068187713623047,1240,0.0004774952496518381
482,258048,500.0,500.0,126,535,0.2,0.003422035,4.0490136825610535e-07,-0.2484937365632504,0.0003,0.001269630971364677,0.02265625,-7.798001289367676,1250,-0.0017713476379867643
479,260096,500.0,500.0,127,542,0.2,0.0020621924,1.0285176301749744e-07,-0.2553758549503982,0.0003,0.0010437426390126348,0.016455078125,-9.71960163116455,1260,7.866173982620239e-05
475,262144,500.0,500.0,128,550,0.2,0.0021873876,5.573654232193803e-06,-0.24471411067061127,0.0003,0.0008528928156010807,0.02021484375,-7.812163352966309,1270,-0.00119180160399992
472,264192,500.0,500.0,129,558,0.2,0.0015669204,2.804737551400649e-05,-0.250734172668308,0.0003,0.008327714167535305,0.02177734375,-5.928564071655273,1280,0.0010209493048023432
469,266240,500.0,500.0,130,566,0.2,0.0036693045,1.245511487013573e-06,-0.25641318475827574,0.0003,0.0005344676901586354,0.025,-4.783181190490723,1290,0.0010834673681529238
466,268288,500.0,500.0,131,574,0.2,0.0014237224,2.1559386311764684e-07,-0.2530085637234151,0.0003,0.0045224204659461975,0.017529296875,-9.632856369018555,1300,0.0003277746152889449
464,270336,500.0,500.0,132,582,0.2,0.002708885,2.993135955193793e-05,-0.2413790503051132,0.0003,-0.002350343856960535,0.018798828125,-7.788947105407715,1310,-0.0007833167241187766
461,272384,500.0,500.0,133,590,0.2,0.0027793995,1.5943424585884713e-06,-0.26511380784213545,0.0003,-0.0016059124609455466,0.051904296875,-13.604146003723145,1320,0.00012089736992493272
458,274432,500.0,500.0,134,598,0.2,0.0024778508,1.1887462392223824e-07,-0.24590231124311684,0.0003,0.00144009361974895,0.020361328125,-7.141151428222656,1330,0.0007166952782426961
455,276480,500.0,500.0,135,607,0.2,0.0014846169,1.5901411290997203e-05,-0.2570068980567157,0.0003,-0.0031252214685082436,0.014599609375,-11.728446006774902,1340,0.00025718721735756844
452,278528,500.0,500.0,136,615,0.2,0.005399471,2.5908402591312552e-06,-0.2642075235955417,0.0003,-0.0035547816660255194,0.040478515625,-2.3301618099212646,1350,-0.0014097786719503348
449,280576,500.0,500.0,137,623,0.2,0.0012700725,2.417370069451863e-07,-0.2602592018898576,0.0003,-0.0002911031187977642,0.014501953125,-3.729491710662842,1360,0.0002905133627791656
446,282624,500.0,500.0,138,632,0.2,0.0016067914,3.6316424427695894e-07,-0.26697078365832566,0.0003,-0.008344708010554314,0.027685546875,-2.977417230606079,1370,-0.0005096389199024997
444,284672,500.0,500.0,139,640,0.2,0.0025178953,1.4260849354741367e-07,-0.2707710847724229,0.0003,-0.008186188526451588,0.02080078125,-5.5291852951049805,1380,-0.00025182934405165724
441,286720,500.0,500.0,140,649,0.2,0.0020887991,1.7284173830489634e-05,-0.2601642358116806,0.0003,-0.0015353666385635734,0.023193359375,-3.0613040924072266,1390,6.594417791347951e-05
438,288768,500.0,500.0,141,657,0.2,0.0034225844,1.2804044899894506e-07,-0.25203563962131736,0.0003,-0.002542271977290511,0.0224609375,-6.837904930114746,1400,-0.0005460744920128491
436,290816,500.0,500.0,142,666,0.2,0.004313816,7.309991588044795e-07,-0.2595484639052302,0.0003,-0.0069115343503654,0.048828125,-3.2152204513549805,1410,-0.0032852988006197847
433,292864,500.0,500.0,143,674,0.2,0.004522492,1.7185196838909177e-07,-0.2648481547366828,0.0003,0.005852438509464264,0.0611328125,-7.999212265014648,1420,-0.002783838170580566
431,294912,500.0,500.0,144,683,0.2,0.0023166435,8.57086259600237e-06,-0.25837300266139207,0.0003,0.0006850781501270831,0.01552734375,-6.05131196975708,1430,-0.0014617697190260515
428,296960,500.0,500.0,145,692,0.2,0.0035859034,1.847346169370212e-07,-0.2647535082418472,0.0003,-0.0018619273323565722,0.034765625,-5.971406936645508,1440,-0.0009542753541609272
426,299008,500.0,500.0,146,701,0.2,0.0018923744,4.065617360993201e-07,-0.25564025561325254,0.0003,-0.004907174501568079,0.01474609375,-3.2818541526794434,1450,-0.001962421418284066
424,301056,500.0,500.0,147,709,0.2,0.0023603467,3.788066098309173e-06,-0.23200766872614623,0.0003,-0.0013101595686748624,0.024755859375,-4.103816032409668,1460,-0.0024277962438645773
421,303104,500.0,500.0,148,718,0.2,0.002005797,2.7143821804997968e-05,-0.23642919706180693,0.0003,0.00025695349904708564,0.019384765625,-5.751053333282471,1470,-0.0015507174393860623
