rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
199.53,1497,26624,17,13,199.53,-0.005111291966750286,-0.5766455264762044,120,0.7732590436935425,0.8848816156387329,9.376796178799122,0.0003,0.0028095592,0.038330078125,0.2
216.52,1472,28672,19,14,216.52,-0.004397845307539683,-0.5452237150631845,130,0.035577237606048584,15.781405448913574,74.02701847106218,0.0003,0.002698978,0.018701171875,0.2
231.98,1449,30720,21,15,231.98,-0.0013284115273563657,-0.5406863711774349,140,0.6282737255096436,0.17094558477401733,2.282601764658466,0.0003,0.0057994276,0.0521484375,0.2
248.68,1427,32768,22,16,248.68,-0.0001661122492805589,-0.5089772761799395,150,0.14832806587219238,0.03482605516910553,1.1610425299673808,0.0003,0.0036339522,0.03056640625,0.2
266.22,1404,34816,24,17,266.22,-0.006795312130998354,-0.5216755622066558,160,0.8780977129936218,0.05377957969903946,0.7587524826230947,0.0003,0.007401823,0.06923828125,0.2
282.66,1379,36864,26,18,282.66,-0.002392873053031508,-0.4924999989569187,170,-0.13205933570861816,0.014986542984843254,0.4743965795947588,0.0003,0.007898183,0.055859375,0.2
302.86,1359,38912,28,19,302.86,-0.0017318159771093633,-0.48106697397306564,180,0.02477210760116577,0.021158818155527115,0.29924587987334234,0.0003,0.0021501384,0.020703125,0.2
316.53,1338,40960,30,20,316.53,-0.0027574378123972564,-0.5084725833497942,190,0.015795230865478516,0.0307045616209507,0.18974406132037985,0.0003,0.003890747,0.037841796875,0.2
332.03,1317,43008,32,21,332.03,-0.0019535764353349806,-0.4792630317620933,200,0.021730780601501465,0.02646818198263645,0.12124756130797323,0.0003,0.0036192136,0.0294921875,0.2
348.21,1296,45056,34,22,348.21,0.00012918910506414248,-0.4909310571849346,210,-0.005491852760314941,0.013324383646249771,0.07323255150658951,0.0003,0.0014690647,0.006884765625,0.2
362.78,1275,47104,36,23,362.78,-0.0014776760159293189,-0.4574259836226702,220,-0.003206610679626465,0.020288733765482903,0.04669999089892372,0.0003,0.0025166064,0.01875,0.2
376.34,1255,49152,39,24,376.34,-0.0005541632024687714,-0.4495758170261979,230,-0.01768481731414795,-0.0064519792795181274,0.030776348597100878,0.0003,0.0049098795,0.027392578125,0.2
389.24,1234,51200,41,25,389.24,-0.0024892325600376353,-0.46148669430986045,240,0.02282494306564331,-0.023520244285464287,0.018912824257131432,0.0003,0.0061585275,0.05498046875,0.2
402.71,1216,53248,43,26,402.71,0.00023841381480451673,-0.45107212029397487,250,-0.012634873390197754,-0.0013341461308300495,0.012585501473586192,0.0003,0.0017507767,0.005224609375,0.2
409.93,1199,55296,46,27,409.93,-0.0019914778851671143,-0.4471551333554089,260,0.05382740497589111,-0.020998958498239517,0.007950794965563546,0.0003,0.002760853,0.01708984375,0.2
420.8,1183,57344,48,28,420.8,-0.0009171208170300815,-0.4441605635918677,270,-0.026285767555236816,-0.004077482037246227,0.005355057942233543,0.0003,0.0030335814,0.027001953125,0.2
434.64,1168,59392,50,29,434.64,-0.00025492825225228446,-0.4276028127409518,280,0.03001868724822998,0.009822188876569271,0.003512056756471793,0.0003,0.0018424195,0.01123046875,0.2
447.05,1153,61440,53,30,447.05,-0.0019252035810495727,-0.4370282982476056,290,-0.0006660223007202148,0.031867772340774536,0.0025118856376593612,0.0003,0.0036742676,0.029541015625,0.2
460.47,1138,63488,55,31,460.47,-0.0009922632496454753,-0.46192426020279526,300,-0.07334339618682861,-0.0005246626096777618,0.0016119317191055416,0.0003,0.0023942913,0.029931640625,0.2
