time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
57,479.38,33,1166,67584,479.38,0.0007961062399658658,320,-0.45797943165525795,-0.02961266040802002,-0.0025533973035635426,0.057568359375,0.2,0.0003,0.0033099127,-0.015996525064110756
60,487.44,34,1149,69632,487.44,0.0005394980920982561,330,-0.4568369715474546,-0.06582129001617432,-0.00026230914372717964,0.022021484375,0.2,0.0003,0.005047568,-0.0008202461176551878
63,493.65,35,1134,71680,493.65,0.00039817970657054504,340,-0.42428353866562246,0.012458205223083496,-0.0018998185085365548,0.024169921875,0.2,0.0003,0.0023678318,-0.0025519556365907192
65,495.11,36,1119,73728,495.11,0.0002702644773023621,350,-0.42917966227978466,0.03612256050109863,-0.0035852832457749172,0.0705078125,0.2,0.0003,0.00559142,-0.010940944775938988
68,497.49,37,1105,75776,497.49,0.00018992375235029612,360,-0.4396446006372571,0.009997189044952393,-0.004298834744258784,0.148828125,0.2,0.0003,0.012511204,0.013875245116651058
71,500.0,38,1091,77824,500.0,0.00013127951780802504,370,-0.4230657362379134,0.019775331020355225,-0.0018396017447230406,0.036962890625,0.2,0.0003,0.0064346027,-0.013342116959393024
74,500.0,39,1077,79872,500.0,9.320647616846145e-05,380,-0.40480156810954215,-0.08185207843780518,-0.0010250991879729554,0.028125,0.2,0.0003,0.0048522637,0.0005380522925406694
76,500.0,40,1064,81920,500.0,7.122895208055979e-05,390,-0.3972759936004877,-0.132301926612854,-0.00470116234573652,0.091064453125,0.2,0.0003,0.008884411,-0.018102480098605156
79,500.0,41,1051,83968,500.0,5.2222465177464984e-05,400,-0.3956329542212188,-0.04151296615600586,-0.0024566012842115017,0.043603515625,0.2,0.0003,0.0025225724,0.002909488044679165
82,500.0,42,1039,86016,500.0,3.55688280620825e-05,410,-0.36938205286860465,-0.14633166790008545,-0.002624567211023532,0.034033203125,0.2,0.0003,0.0043747523,0.01817375421524048
85,500.0,43,1027,88064,500.0,2.3840224912419217e-05,420,-0.36650727968662977,-0.20147192478179932,-0.0020160950181889346,0.051953125,0.2,0.0003,0.0049660173,-0.003183921566233039
88,500.0,44,1015,90112,500.0,2.2104721517735014e-05,430,-0.3464754638262093,-0.24621880054473877,-0.0013390690932283179,0.02060546875,0.2,0.0003,0.0025961106,0.0030252132564783096
91,500.0,45,1004,92160,500.0,1.0258530556939149e-05,440,-0.3409949562512338,-0.22708547115325928,-0.0005213174415985122,0.02568359375,0.2,0.0003,0.0019238013,-0.008446047082543373
94,500.0,46,993,94208,500.0,8.53050890441409e-06,450,-0.3393338988535106,-0.23130762577056885,-0.0018881456708186306,0.02744140625,0.2,0.0003,0.0040262025,-0.0020820782519876957
98,500.0,47,982,96256,500.0,5.938187049991938e-06,460,-0.3154216084163636,-0.560707688331604,-0.0015688870204030535,0.02734375,0.2,0.0003,0.0031105422,0.00044329388765618205
101,500.0,48,970,98304,500.0,6.15558850540765e-06,470,-0.3208758900873363,-0.5452430248260498,-3.5680251312442127e-05,0.0314453125,0.2,0.0003,0.0014387127,0.001526010106317699
104,500.0,49,960,100352,500.0,4.434074620007778e-06,480,-0.31611030860804024,-0.6489599943161011,-0.00022609639054280706,0.028076171875,0.2,0.0003,0.00082490715,-0.004848582204431295
108,500.0,50,948,102400,500.0,4.859548104718669e-06,490,-0.2910627521574497,-0.8038852214813232,-0.0015715673187514767,0.02236328125,0.2,0.0003,0.004324102,-0.013525380752980709
111,500.0,51,935,104448,500.0,3.1407477564471265e-06,500,-0.28937425022013485,-0.9707667827606201,-0.000333408938604407,0.03271484375,0.2,0.0003,0.005122772,-0.0038612824864685535
115,500.0,52,923,106496,500.0,6.4226418459156775e-06,510,-0.29266753513365984,-1.1511187553405762,-0.0010177905904129147,0.0142578125,0.2,0.0003,0.002875493,-0.015241706743836403
119,500.0,53,910,108544,500.0,1.5509800135760087e-06,520,-0.28247814839705826,-1.405060052871704,-0.0015721035226306413,0.036376953125,0.2,0.0003,0.0039802487,-0.002636340446770191
123,500.0,54,898,110592,500.0,3.702473281919083e-06,530,-0.28323071892373264,-1.9588899612426758,0.00023052361648296938,0.037890625,0.2,0.0003,0.0033522872,0.0005051552434451878
127,500.0,55,886,112640,500.0,1.464681332663531e-06,540,-0.26863713120110333,-3.3494668006896973,-0.0007498944207327441,0.011279296875,0.2,0.0003,0.0016412863,0.0008929474279284477
131,500.0,56,874,114688,500.0,1.7425749206267937e-06,550,-0.2627803192473948,-2.617108106613159,-0.0008240752213168889,0.018408203125,0.2,0.0003,0.002517159,-0.0023703572805970907
135,500.0,57,863,116736,500.0,2.781602029244823e-06,560,-0.2775299326982349,-3.995400905609131,-0.0017010615178151057,0.045849609375,0.2,0.0003,0.003523226,-0.008754328824579716
139,500.0,58,852,118784,500.0,1.535452531413739e-05,570,-0.27163035566918553,-4.764060974121094,-0.001890613848809153,0.027392578125,0.2,0.0003,0.0036534055,-0.010490769520401955
143,500.0,59,841,120832,500.0,1.2210200310391884e-06,580,-0.25892397509887816,-2.2041029930114746,-8.413621253566816e-05,0.006201171875,0.2,0.0003,0.0013508579,0.00277087464928627
