time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss
0,1,2766,2048,25.658227848101266,25.658227848101266,,,,,,,,,,
1,2,2173,4096,29.94,29.94,10,9.418014526367188,0.0962890625,0.2,0.007937554,-0.002147078514099121,0.0003,-0.6861534619703888,62.65411128401756,-0.015893689582298975
2,3,2053,6144,38.08,38.08,20,16.50503158569336,0.047216796875,0.2,0.00835187,0.02873629331588745,0.0003,-0.6695749824866652,42.20070811510086,-0.01376315061643254
4,4,1946,8192,48.07,48.07,30,19.9884090423584,0.09619140625,0.2,0.009411298,0.24043327569961548,0.0003,-0.6365076126530766,55.95240314006806,-0.020103348986594938
5,5,1866,10240,64.03,64.03,40,22.366622924804688,0.063916015625,0.2,0.008578448,0.27466094493865967,0.0003,-0.6134070323780179,60.64844489693642,-0.013915106924832799
6,6,1798,12288,79.84,79.84,50,19.769630432128906,0.05595703125,0.2,0.0073352465,0.47958219051361084,0.0003,-0.5978608950972557,61.525688987970355,-0.01159398648305796
8,7,1753,14336,96.76,96.76,60,30.229148864746094,0.0349609375,0.2,0.0057681934,0.4725443124771118,0.0003,-0.5725847134366632,65.74753414392471,-0.008012675130157732
9,8,1714,16384,114.03,114.03,70,10.666980743408203,0.13076171875,0.2,0.010867927,0.805853009223938,0.0003,-0.5705777905881405,33.75315031856299,-0.010717036640562583
10,9,1677,18432,127.63,127.63,80,2.974968910217285,0.017333984375,0.2,0.0044967346,0.9115698337554932,0.0003,-0.5727981563657523,20.198408918827774,-0.0018588735052617266
12,10,1643,20480,146.91,146.91,90,3.686342477798462,0.0888671875,0.2,0.008902182,0.8860416412353516,0.0003,-0.5543361682444811,24.335979380458593,-0.01037068173609441
13,11,1611,22528,165.7,165.7,100,0.8026820421218872,0.087451171875,0.2,0.0065739513,0.9695816040039062,0.0003,-0.5658008327707649,9.43191253580153,-0.01065857887151651
15,12,1581,24576,181.31,181.31,110,26.026031494140625,0.08369140625,0.2,0.008681882,0.8280407190322876,0.0003,-0.5524293376132846,32.96640570759773,-0.012667649569630157
17,13,1552,26624,199.53,199.53,120,0.8848816156387329,0.038330078125,0.2,0.0028095592,0.7732590436935425,0.0003,-0.5766455264762044,9.376796178799122,-0.005111291966750286
18,14,1525,28672,216.52,216.52,130,15.781405448913574,0.018701171875,0.2,0.002698978,0.035577237606048584,0.0003,-0.5452237150631845,74.02701847106218,-0.004397845307539683
20,15,1498,30720,231.98,231.98,140,0.17094558477401733,0.0521484375,0.2,0.0057994276,0.6282737255096436,0.0003,-0.5406863711774349,2.282601764658466,-0.0013284115273563657
22,16,1474,32768,248.68,248.68,150,0.03482605516910553,0.03056640625,0.2,0.0036339522,0.14832806587219238,0.0003,-0.5089772761799395,1.1610425299673808,-0.0001661122492805589
24,17,1450,34816,266.22,266.22,160,0.05377957969903946,0.06923828125,0.2,0.007401823,0.8780977129936218,0.0003,-0.5216755622066558,0.7587524826230947,-0.006795312130998354
25,18,1427,36864,282.66,282.66,170,0.014986542984843254,0.055859375,0.2,0.007898183,-0.13205933570861816,0.0003,-0.4924999989569187,0.4743965795947588,-0.002392873053031508
27,19,1405,38912,302.86,302.86,180,0.021158818155527115,0.020703125,0.2,0.0021501384,0.02477210760116577,0.0003,-0.48106697397306564,0.29924587987334234,-0.0017318159771093633
29,20,1384,40960,316.53,316.53,190,0.0307045616209507,0.037841796875,0.2,0.003890747,0.015795230865478516,0.0003,-0.5084725833497942,0.18974406132037985,-0.0027574378123972564
31,21,1364,43008,332.03,332.03,200,0.02646818198263645,0.0294921875,0.2,0.0036192136,0.021730780601501465,0.0003,-0.4792630317620933,0.12124756130797323,-0.0019535764353349806
33,22,1343,45056,348.21,348.21,210,0.013324383646249771,0.006884765625,0.2,0.0014690647,-0.005491852760314941,0.0003,-0.4909310571849346,0.07323255150658951,0.00012918910506414248
35,23,1323,47104,362.78,362.78,220,0.020288733765482903,0.01875,0.2,0.0025166064,-0.003206610679626465,0.0003,-0.4574259836226702,0.04669999089892372,-0.0014776760159293189
37,24,1304,49152,376.34,376.34,230,-0.0064519792795181274,0.027392578125,0.2,0.0049098795,-0.01768481731414795,0.0003,-0.4495758170261979,0.030776348597100878,-0.0005541632024687714
39,25,1285,51200,389.24,389.24,240,-0.023520244285464287,0.05498046875,0.2,0.0061585275,0.02282494306564331,0.0003,-0.46148669430986045,0.018912824257131432,-0.0024892325600376353
42,26,1266,53248,402.71,402.71,250,-0.0013341461308300495,0.005224609375,0.2,0.0017507767,-0.012634873390197754,0.0003,-0.45107212029397487,0.012585501473586192,0.00023841381480451673
44,27,1248,55296,409.93,409.93,260,-0.020998958498239517,0.01708984375,0.2,0.002760853,0.05382740497589111,0.0003,-0.4471551333554089,0.007950794965563546,-0.0019914778851671143
46,28,1230,57344,420.8,420.8,270,-0.004077482037246227,0.027001953125,0.2,0.0030335814,-0.026285767555236816,0.0003,-0.4441605635918677,0.005355057942233543,-0.0009171208170300815
48,29,1212,59392,434.64,434.64,280,0.009822188876569271,0.01123046875,0.2,0.0018424195,0.03001868724822998,0.0003,-0.4276028127409518,0.003512056756471793,-0.00025492825225228446
51,30,1194,61440,447.05,447.05,290,0.031867772340774536,0.029541015625,0.2,0.0036742676,-0.0006660223007202148,0.0003,-0.4370282982476056,0.0025118856376593612,-0.0019252035810495727
