time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/n_updates
2724,1,0,2048,25.658227848101266,25.658227848101266,,,,,,,,,,
2196,2,1,4096,29.94,29.94,-0.002147078514099121,0.0962890625,0.0003,-0.6861534619703888,62.65411128401756,0.2,0.007937554,9.418014526367188,-0.015893689582298975,10
2083,3,2,6144,38.08,38.08,0.02873629331588745,0.047216796875,0.0003,-0.6695749824866652,42.20070811510086,0.2,0.00835187,16.50503158569336,-0.01376315061643254,20
1978,4,4,8192,48.07,48.07,0.24043327569961548,0.09619140625,0.0003,-0.6365076126530766,55.95240314006806,0.2,0.009411298,19.9884090423584,-0.020103348986594938,30
1904,5,5,10240,64.03,64.03,0.27466094493865967,0.063916015625,0.0003,-0.6134070323780179,60.64844489693642,0.2,0.008578448,22.366622924804688,-0.013915106924832799,40
1845,6,6,12288,79.84,79.84,0.47958219051361084,0.05595703125,0.0003,-0.5978608950972557,61.525688987970355,0.2,0.0073352465,19.769630432128906,-0.01159398648305796,50
1792,7,7,14336,96.76,96.76,0.4725443124771118,0.0349609375,0.0003,-0.5725847134366632,65.74753414392471,0.2,0.0057681934,30.229148864746094,-0.008012675130157732,60
1739,8,9,16384,114.03,114.03,0.805853009223938,0.13076171875,0.0003,-0.5705777905881405,33.75315031856299,0.2,0.010867927,10.666980743408203,-0.010717036640562583,70
1698,9,10,18432,127.63,127.63,0.9115698337554932,0.017333984375,0.0003,-0.5727981563657523,20.198408918827774,0.2,0.0044967346,2.974968910217285,-0.0018588735052617266,80
1660,10,12,20480,146.91,146.91,0.8860416412353516,0.0888671875,0.0003,-0.5543361682444811,24.335979380458593,0.2,0.008902182,3.686342477798462,-0.01037068173609441,90
1625,11,13,22528,165.7,165.7,0.9695816040039062,0.087451171875,0.0003,-0.5658008327707649,9.43191253580153,0.2,0.0065739513,0.8026820421218872,-0.01065857887151651,100
1593,12,15,24576,181.31,181.31,0.8280407190322876,0.08369140625,0.0003,-0.5524293376132846,32.96640570759773,0.2,0.008681882,26.026031494140625,-0.012667649569630157,110
1565,13,17,26624,199.53,199.53,0.7732590436935425,0.038330078125,0.0003,-0.5766455264762044,9.376796178799122,0.2,0.0028095592,0.8848816156387329,-0.005111291966750286,120
1539,14,18,28672,216.52,216.52,0.035577237606048584,0.018701171875,0.0003,-0.5452237150631845,74.02701847106218,0.2,0.002698978,15.781405448913574,-0.004397845307539683,130
1512,15,20,30720,231.98,231.98,0.6282737255096436,0.0521484375,0.0003,-0.5406863711774349,2.282601764658466,0.2,0.0057994276,0.17094558477401733,-0.0013284115273563657,140
1488,16,22,32768,248.68,248.68,0.14832806587219238,0.03056640625,0.0003,-0.5089772761799395,1.1610425299673808,0.2,0.0036339522,0.03482605516910553,-0.0001661122492805589,150
1465,17,23,34816,266.22,266.22,0.8780977129936218,0.06923828125,0.0003,-0.5216755622066558,0.7587524826230947,0.2,0.007401823,0.05377957969903946,-0.006795312130998354,160
1443,18,25,36864,282.66,282.66,-0.13205933570861816,0.055859375,0.0003,-0.4924999989569187,0.4743965795947588,0.2,0.007898183,0.014986542984843254,-0.002392873053031508,170
1421,19,27,38912,302.86,302.86,0.02477210760116577,0.020703125,0.0003,-0.48106697397306564,0.29924587987334234,0.2,0.0021501384,0.021158818155527115,-0.0017318159771093633,180
1399,20,29,40960,316.53,316.53,0.015795230865478516,0.037841796875,0.0003,-0.5084725833497942,0.18974406132037985,0.2,0.003890747,0.0307045616209507,-0.0027574378123972564,190
1379,21,31,43008,332.03,332.03,0.021730780601501465,0.0294921875,0.0003,-0.4792630317620933,0.12124756130797323,0.2,0.0036192136,0.02646818198263645,-0.0019535764353349806,200
1358,22,33,45056,348.21,348.21,-0.005491852760314941,0.006884765625,0.0003,-0.4909310571849346,0.07323255150658951,0.2,0.0014690647,0.013324383646249771,0.00012918910506414248,210
1339,23,35,47104,362.78,362.78,-0.003206610679626465,0.01875,0.0003,-0.4574259836226702,0.04669999089892372,0.2,0.0025166064,0.020288733765482903,-0.0014776760159293189,220
1320,24,37,49152,376.34,376.34,-0.01768481731414795,0.027392578125,0.0003,-0.4495758170261979,0.030776348597100878,0.2,0.0049098795,-0.0064519792795181274,-0.0005541632024687714,230
1301,25,39,51200,389.24,389.24,0.02282494306564331,0.05498046875,0.0003,-0.46148669430986045,0.018912824257131432,0.2,0.0061585275,-0.023520244285464287,-0.0024892325600376353,240
1282,26,41,53248,402.71,402.71,-0.012634873390197754,0.005224609375,0.0003,-0.45107212029397487,0.012585501473586192,0.2,0.0017507767,-0.0013341461308300495,0.00023841381480451673,250
1262,27,43,55296,409.93,409.93,0.05382740497589111,0.01708984375,0.0003,-0.4471551333554089,0.007950794965563546,0.2,0.002760853,-0.020998958498239517,-0.0019914778851671143,260
1245,28,46,57344,420.8,420.8,-0.026285767555236816,0.027001953125,0.0003,-0.4441605635918677,0.005355057942233543,0.2,0.0030335814,-0.004077482037246227,-0.0009171208170300815,270
1228,29,48,59392,434.64,434.64,0.03001868724822998,0.01123046875,0.0003,-0.4276028127409518,0.003512056756471793,0.2,0.0018424195,0.009822188876569271,-0.00025492825225228446,280
1211,30,50,61440,447.05,447.05,-0.0006660223007202148,0.029541015625,0.0003,-0.4370282982476056,0.0025118856376593612,0.2,0.0036742676,0.031867772340774536,-0.0019252035810495727,290
1194,31,53,63488,460.47,460.47,-0.07334339618682861,0.029931640625,0.0003,-0.46192426020279526,0.0016119317191055416,0.2,0.0023942913,-0.0005246626096777618,-0.0009922632496454753,300
1177,32,55,65536,472.3,472.3,0.05760014057159424,0.0501953125,0.0003,-0.4614735499024391,0.001152523893574653,0.2,0.003319404,0.0025232487823814154,-0.0057143107529554985,310
1161,33,58,67584,479.38,479.38,-0.02961266040802002,0.057568359375,0.0003,-0.45797943165525795,0.0007961062399658658,0.2,0.0033099127,-0.015996525064110756,-0.0025533973035635426,320
1146,34,60,69632,487.44,487.44,-0.06582129001617432,0.022021484375,0.0003,-0.4568369715474546,0.0005394980920982561,0.2,0.005047568,-0.0008202461176551878,-0.00026230914372717964,330
1131,35,63,71680,493.65,493.65,0.012458205223083496,0.024169921875,0.0003,-0.42428353866562246,0.00039817970657054504,0.2,0.0023678318,-0.0025519556365907192,-0.0018998185085365548,340
1117,36,65,73728,495.11,495.11,0.03612256050109863,0.0705078125,0.0003,-0.42917966227978466,0.0002702644773023621,0.2,0.00559142,-0.010940944775938988,-0.0035852832457749172,350
1102,37,68,75776,497.49,497.49,0.009997189044952393,0.148828125,0.0003,-0.4396446006372571,0.00018992375235029612,0.2,0.012511204,0.013875245116651058,-0.004298834744258784,360
1088,38,71,77824,500.0,500.0,0.019775331020355225,0.036962890625,0.0003,-0.4230657362379134,0.00013127951780802504,0.2,0.0064346027,-0.013342116959393024,-0.0018396017447230406,370
1075,39,74,79872,500.0,500.0,-0.08185207843780518,0.028125,0.0003,-0.40480156810954215,9.320647616846145e-05,0.2,0.0048522637,0.0005380522925406694,-0.0010250991879729554,380
1062,40,77,81920,500.0,500.0,-0.132301926612854,0.091064453125,0.0003,-0.3972759936004877,7.122895208055979e-05,0.2,0.008884411,-0.018102480098605156,-0.00470116234573652,390
1049,41,80,83968,500.0,500.0,-0.04151296615600586,0.043603515625,0.0003,-0.3956329542212188,5.2222465177464984e-05,0.2,0.0025225724,0.002909488044679165,-0.0024566012842115017,400
1036,42,82,86016,500.0,500.0,-0.14633166790008545,0.034033203125,0.0003,-0.36938205286860465,3.55688280620825e-05,0.2,0.0043747523,0.01817375421524048,-0.002624567211023532,410
1024,43,85,88064,500.0,500.0,-0.20147192478179932,0.051953125,0.0003,-0.36650727968662977,2.3840224912419217e-05,0.2,0.0049660173,-0.003183921566233039,-0.0020160950181889346,420
